epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,772.641,0.64757,2.25258,0.93455,0.67912,0.48173,0.50437,0.42502,0.55676,2.37377,0.87212,0.000657895,0.000657895,0.000657895
2,1746.93,0.56571,1.57181,0.87115,0.33482,0.52824,0.4082,0.34991,0.64205,2.11523,0.93851,0.00119343,0.00119343,0.00119343
3,2439.08,0.53155,1.22732,0.87005,0.69573,0.6837,0.76622,0.66881,0.57933,1.22349,0.87797,0.00159696,0.00159696,0.00159696
4,3239.47,0.50494,1.04956,0.85967,0.8801,0.66777,0.84877,0.75227,0.51111,1.00989,0.85186,0.001406,0.001406,0.001406
5,4153.18,0.45539,0.87028,0.85497,0.85987,0.74751,0.87597,0.78171,0.45619,0.84262,0.8363,0.001208,0.001208,0.001208
6,4915.2,0.43101,0.77235,0.84093,0.82456,0.79402,0.89869,0.81926,0.42905,0.70648,0.82816,0.00101,0.00101,0.00101
7,5549.46,0.40922,0.71012,0.83556,0.64978,0.70432,0.78985,0.72577,0.44552,0.88933,0.84405,0.000812,0.000812,0.000812
8,6129.82,0.37207,0.62418,0.82552,0.89995,0.76744,0.91104,0.86385,0.35689,0.65001,0.80946,0.000614,0.000614,0.000614
9,6773.87,0.34959,0.59824,0.82095,0.90436,0.78538,0.92517,0.8804,0.33094,0.56761,0.80374,0.000416,0.000416,0.000416
10,7590.1,0.3273,0.53147,0.82503,0.8479,0.82392,0.92152,0.88298,0.31308,0.55552,0.80455,0.000218,0.000218,0.000218
